Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8246583755565792,0.7113300492610838,0.45957988542329725,0.5583913379737045
Decision Tree,0.8148318747121143,0.6117575015309247,0.6359007001909611,0.6235955056179775
KNN,0.8352525717795178,0.6786226685796269,0.6021642266072565,0.6381112984822934
