Feature,Importance
fnlwgt,0.16934001381910038
age,0.14881161835602677
capital-gain,0.11425426767584891
relationship,0.10939559506772599
education-num,0.0925488936098883
hours-per-week,0.08346170576975245
occupation,0.06758456028330807
marital-status,0.06382950739476796
workclass,0.040504625163905884
capital-loss,0.035147571826835644
education,0.032618672180129184
native-country,0.017322438623047616
race,0.014076330148443391
sex,0.01110420008121963
