Model,Accuracy,Recall,F1,AUC
Random Forest,0.862582527253186,0.6403564608529599,0.6921224630202958,0.9103586968477884
SVM,0.8519883310302472,0.5563335455124124,0.644542772861357,0.8984157667517358
