Model,Accuracy,Precision,Recall,F1,AUC
Random Forest,0.862582527253186,0.7485294117647059,0.6479949077021006,0.6946434663937223,0.9091657369341781
SVM,0.8519883310302472,0.7659947414548641,0.5563335455124124,0.644542772861357,0.898432382151094
